Source,Target,Type,Weight
100,2823,Directed,2
100,2515,Directed,2
100,2824,Directed,2
100,2825,Directed,3
100,2826,Directed,2
100,2827,Directed,2
100,2828,Directed,2
6,2822,Directed,2
6,2823,Directed,2
6,2824,Directed,2
6,2825,Directed,3
6,2826,Directed,2
6,2827,Directed,2
6,2828,Directed,2
100,2832,Directed,2
100,1833,Directed,2
100,2833,Directed,2
100,2834,Directed,2
6,2832,Directed,2
6,2833,Directed,2
6,2834,Directed,2
6,2840,Directed,2
6,2842,Directed,2
6,2843,Directed,2
6,2850,Directed,2
100,2852,Directed,2
100,1842,Directed,2
100,2853,Directed,2
12,2859,Directed,2
12,2860,Directed,2
12,2861,Directed,2
12,2862,Directed,2
12,2863,Directed,2
6,2897,Directed,2
6,2922,Directed,2
6,2923,Directed,2
12,2942,Directed,2
12,2943,Directed,2
12,2944,Directed,2
12,2945,Directed,2
12,2946,Directed,2
6,2953,Directed,2
100,2956,Directed,2
6,2956,Directed,2
6,2957,Directed,2
6,2976,Directed,2
6,2977,Directed,2
100,1432,Directed,3
100,2948,Directed,2
6,1432,Directed,3
6,2948,Directed,2
100,2979,Directed,2
100,1395,Directed,2
100,2980,Directed,2
6,2979,Directed,2
6,1395,Directed,2
6,2980,Directed,2
100,2981,Directed,2
6,2981,Directed,2
100,2982,Directed,2
100,2983,Directed,2
6,2982,Directed,2
6,2983,Directed,2
6,2987,Directed,2
12,3002,Directed,2
12,3003,Directed,2
12,2990,Directed,2
6,3004,Directed,2
100,3013,Directed,3
100,3014,Directed,3
6,3013,Directed,3
6,3014,Directed,3
12,3028,Directed,2
12,3044,Directed,2
6,3048,Directed,2
6,3052,Directed,2
6,3053,Directed,2
12,3054,Directed,2
6,3054,Directed,2
100,3066,Directed,2
100,3067,Directed,2
100,3068,Directed,2
100,3069,Directed,2
100,3070,Directed,2
100,3071,Directed,2
6,3066,Directed,2
6,3067,Directed,2
6,3068,Directed,2
6,3069,Directed,2
6,3070,Directed,2
6,3071,Directed,2
12,3074,Directed,2
12,2341,Directed,2
12,2092,Directed,2
12,2023,Directed,2
12,2324,Directed,2
12,1372,Directed,2
12,3075,Directed,2
12,3076,Directed,2
12,1854,Directed,2
12,3077,Directed,2
100,3093,Directed,2
100,3094,Directed,2
6,3093,Directed,2
6,3094,Directed,2
100,3143,Directed,2
6,3143,Directed,3
6,3151,Directed,3
6,3152,Directed,3
100,3153,Directed,2
6,3153,Directed,2
6,3189,Directed,2
6,3190,Directed,2
12,3191,Directed,2
12,3192,Directed,2
12,3193,Directed,2
100,2950,Directed,2
6,2950,Directed,2
12,2468,Directed,2
12,1515,Directed,2
12,1489,Directed,2
6,2468,Directed,2
6,1515,Directed,2
6,1489,Directed,2
100,3222,Directed,2
6,3222,Directed,2
6,1440,Directed,2
100,3262,Directed,2
